Count,Color,,Code,Key,Index
59737,#000000,,310,A,0
11461,#b3b094,,524,B,1
8892,#4e4836,,3787,C,2
8565,#eae2bd,,10,D,3
7125,#7b6f53,,640,E,4
6114,#b3a175,,372,F,5
5559,#d4b48c,,738,G,6
5263,#e1cea3,,3047,H,7
5114,#a98352,,3045,I,8
4307,#2c2c2a,,3799,J,9
4300,#ad946d,,612,K,10
4242,#cde4e3,,747,L,11
4036,#798985,,926,M,12
4028,#b3c4b6,,3813,N,13
3930,#59564c,,645,O,14
3722,#fae3a0,,3078,P,15
3622,#f2a87e,,3825,R,16
3281,#a59d89,,3023,S,17
3206,#b4a38a,,3782,T,18
3181,#92866e,,642,U,19
3179,#705a39,,611,V,20
3093,#403933,,844,W,21
3017,#e9d1a0,,677,X,22
2992,#132519,,500,Y,23
2990,#807b69,,646,Z,24
2974,#fbc07c,,19,1,25
2792,#e78d5b,,722,2,26
2777,#0d3346,,3750,3,27
2728,#f9cb8c,,3855,4,28
2696,#3a4143,,413,5,29
2627,#1f3f42,,924,6,30
2567,#d0b57e,,3046,7,31
2526,#fad182,,744,8,32
2510,#dea369,,3827,9,33
2422,#272716,,934,10,34
2418,#be673a,,922,11,35
2316,#f5ebcf,,746,12,36
2272,#d39165,,402,13,37
2172,#7c583b,,3862,14,38
2114,#fcdd87,,727,15,39
2008,#918064,,3032,16,40
1967,#7b644d,,3790,17,41
1876,#ecc46f,,3822,18,42
1813,#bf9d6d,,422,19,43
1738,#8a5a4a,,3772,20,44
1700,#ab7a63,,3064,21,45
1629,#d6c9b1,,613,22,46
1583,#70747d,,414,23,47
1570,#c8bea8,,644,24,48
1516,#937055,,3863,25,49
1451,#4e3827,,839,26,50
1445,#d0d0c4,,3072,27,51
1428,#ce9884,,758,28,52
1338,#eeaf42,,725,29,53
1299,#6b522d,,610,30,54
1263,#acc8d5,,827,31,55
1249,#9faba3,,927,32,56
1242,#f8c058,,743,33,57
1014,#86746f,,451,34,58
1014,#fbeac5,,3823,35,59
994,#fbf9f0,,3865,36,60
708,#2a4551,,930,37,61
696,#f3a230,,742,38,62
685,#392515,,3031,39,63
669,#483420,,3781,40,64
655,#ffed94,,445,41,65
553,#c3d9d9,,828,42,66
485,#ee8700,,741,43,67
396,#e5e8e2,,3756,44,68
340,#f59e00,,972,45,69
290,#b6bdbd,,168,46,70
274,#db6400,,740,47,71
245,#c8cdc6,,928,48,72